community_id,drug_id,drug_name,n_target,target_list,target_coverage
21,3191,,26,"[146, 150, 151, 152, 1128, 1129, 1131, 1132, 1133, 1812, 1813, 1814, 2064, 2534, 3269, 3350, 3356, 3357, 3358, 3362, 3757, 5243, 6530, 6531, 6532, 6865]",0.003335471456061578
21,3219,,6,"[1128, 1129, 1131, 1132, 1133, 3269]",0.0007697241821680564
21,3241,,7,"[1128, 1129, 1131, 1132, 1133, 3269, 55244]",0.0008980115458627325
21,33036,,8,"[1128, 1129, 1131, 1132, 1133, 3269, 6531, 6532]",0.0010262989095574087
21,3494,,5,"[1128, 1129, 1131, 1132, 1133]",0.0006414368184733803
21,3623,,6,"[1128, 1129, 1131, 1132, 1133, 3269]",0.0007697241821680564
21,3661,,7,"[1128, 1129, 1131, 1132, 1133, 3269, 3356]",0.0008980115458627325
21,3746,,6,"[1128, 1129, 1131, 1132, 1133, 3269]",0.0007697241821680564
21,3947,,15,"[146, 147, 148, 1128, 1129, 1131, 1132, 1133, 3269, 3356, 3357, 3358, 6530, 6531, 6532]",0.001924310455420141
21,4034,,6,"[1128, 1129, 1131, 1132, 1133, 3269]",0.0007697241821680564
21,4057,,2,"[1129, 1131]",0.0002565747273893522
21,4066,,6,"[1128, 1129, 1131, 1132, 1133, 3269]",0.0007697241821680564
21,443878,,7,"[1128, 1129, 1131, 1132, 1133, 3269, 3757]",0.0008980115458627325
21,444030,,6,"[1128, 1129, 1131, 1132, 1133, 3269]",0.0007697241821680564
21,4601,,15,"[150, 151, 1128, 1129, 1131, 1132, 1133, 1565, 3269, 3356, 3358, 3362, 3757, 6530, 6532]",0.001924310455420141
21,4615,,7,"[1128, 1129, 1131, 1132, 1133, 1814, 3269]",0.0008980115458627325
21,4634,,10,"[1128, 1129, 1131, 1132, 1133, 1557, 1814, 3269, 3357, 6531]",0.0012828736369467607
21,4746,,6,"[1128, 1131, 1132, 1133, 1565, 3757]",0.0007697241821680564
21,4848,,7,"[140, 1128, 1129, 1131, 1132, 1133, 3269]",0.0008980115458627325
21,4919,,6,"[1128, 1129, 1131, 1132, 1133, 3269]",0.0007697241821680564
21,49800046,,5,"[1128, 1129, 1131, 1132, 1133]",0.0006414368184733803
21,4992,,25,"[140, 150, 1128, 1129, 1131, 1132, 1133, 1565, 2587, 3061, 3269, 3274, 3350, 3356, 3357, 3358, 3359, 3362, 3363, 3757, 6531, 6532, 6915, 11255, 59340]",0.003207184092366902
21,5184,,6,"[1128, 1129, 1131, 1132, 1133, 3269]",0.0007697241821680564
21,5281071,,6,"[1128, 1129, 1131, 1132, 1133, 3269]",0.0007697241821680564
21,5282593,,5,"[1128, 1129, 1131, 1132, 1133]",0.0006414368184733803
21,5572,,6,"[1128, 1129, 1131, 1132, 1133, 3269]",0.0007697241821680564
21,5593,,8,"[1128, 1129, 1131, 1132, 1133, 1557, 1559, 3269]",0.0010262989095574087
21,5909,,8,"[1128, 1129, 1131, 1132, 1133, 1553, 1571, 3269]",0.0010262989095574087
21,62865,,19,"[1128, 1129, 1131, 1132, 1133, 1812, 1813, 1814, 3269, 3274, 3350, 3356, 3358, 3359, 3363, 9177, 170572, 200909, 285242]",0.0024374599101988454
21,6726,,12,"[146, 150, 1128, 1129, 1131, 1132, 1133, 3269, 3356, 3357, 3358, 6531]",0.0015394483643361128
21,72054,,6,"[1128, 1129, 1131, 1132, 1133, 3269]",0.0007697241821680564
