Community_5,Community_58,Community_81,Community_109,Community_187
Drug_5280360,,,,
Drug_5280363,,,,
Drug_5280723,,,,
Drug_5281037,,,,
Drug_5282381,,,,
Drug_5284594,,,,
Drug_5284596,,,,
Drug_5284603,,,,
Drug_5284604,,,,
Drug_5288826,,,,
Drug_5311065,,,,
Drug_5311068,,,,
Drug_5311507,,,,
Drug_5355,,,,
Drug_5357,,,,
Drug_5358,,,,
Drug_5359272,,,,
Drug_5360515,,,,
Drug_5362436,,,,
Drug_5378,,,,
Drug_5401,,,,
Drug_54384,,,,
Drug_5452,,,,
Drug_5454,,,,
Drug_5467,,,,
Drug_5487,,,,
Drug_5524,,,,
Drug_5533,,,,
Drug_5566,,,,
Drug_5656,,,,
Drug_5702160,,,,
Drug_5709,,,,
Drug_5736,,,,
Drug_5775,,,,
Drug_5815,,,,
Drug_5825,,,,
Drug_59226,,,,
Drug_5959,,,,
Drug_6005,,,,
Drug_60795,,,,
Drug_60846,,,,
Drug_60853,,,,
Drug_60961,,,,
Drug_638678,,,,
Drug_65014,,,,
Drug_657180,,,,
Drug_657237,,,,
Drug_65999,,,,
Drug_681,,,,
Drug_6918313,,,,
Drug_6918554,,,,
Drug_71348,,,,
Drug_71360,,,,
Drug_750,,,,
Drug_774,,,,
Drug_77998,,,,
Drug_8223,,,,
Drug_8226,,,,
Drug_8230,,,,
Drug_838,,,,
Drug_951,,,,
Drug_9681,,,,
Drug_9825285,,,,
Drug_9833444,,,,
Drug_9880,,,,
