source,target,weight
Drug_100002756,Gene_5021,1.0
Drug_100002756,Gene_6582,1.0
Drug_2712,Gene_221223,1.0
Drug_2712,Gene_222642,1.0
Drug_2712,Gene_1066,1.0
Drug_2712,Gene_22871,1.0
Drug_2712,Gene_3269,1.0
Drug_2712,Gene_54413,1.0
Drug_105381226,Gene_5432,1.0
Drug_105381226,Gene_28234,1.0
Drug_105381226,Gene_5435,1.0
Drug_105381226,Gene_10599,1.0
Drug_100004601,Gene_1128,1.0
Drug_100004601,Gene_1133,1.0
Drug_100004601,Gene_3757,1.0
Drug_100004601,Gene_1565,1.0
Drug_100004601,Gene_3269,1.0
Gene_1534,Drug_11020241,1.0
Drug_100003672,Gene_7173,1.0
Drug_100003672,Gene_137902,1.0
Gene_221223,Drug_5314,1.0
Gene_221223,Drug_100004913,1.0
Drug_100004032,Gene_1139,1.0
Drug_100004032,Gene_1137,1.0
Gene_7173,Drug_11020241,1.0
Drug_100004913,Gene_1066,1.0
Drug_100004913,Gene_22871,1.0
Drug_100004913,Gene_6582,1.0
Drug_100004913,Gene_54413,1.0
Drug_11020241,Gene_220002,1.0
Drug_11020241,Gene_137902,1.0
Drug_11020241,Gene_3163,1.0
Gene_1137,Drug_4032,1.0
Gene_1137,Drug_5314,1.0
Gene_1066,Drug_5314,1.0
Gene_1139,Drug_4032,1.0
Gene_1139,Drug_5314,1.0
Drug_5314,Gene_22871,1.0
Drug_5314,Gene_54413,1.0
